항목,거짓자아 (나),새로운 자아 (그리스도 안에 있는 나)
정체성,주어진 독립적인 존재(겉사람),예수 그리스도 안에 새로운 피조물(속사람)
사는 목적,자신의 행복과 성공을 위해서,하나님의 형상을 나타내기 위해서
사는 방법,자기능력의 극대화,하나님의 능력의 극대화
사는 방법,모든 일에 최선을 다함,하나님의 때에 하나님께서 말씀하시는 일
사는 방법,행위와 성취에 목적,하나님의 사랑을 더 나타냄이 목적
사는 방법,목적을 달성하는 삶,목적이 수단이 되는 삶
사는 방법,현재를 포기하는 삶,현재를 즐기는 삶
사는 방법,행위적 삶,존재적 삶
판단 방법,뇌기억과 잠재의식 내 프로그램,하나님의 지식과 지혜
마음의 작용,동일시와 심리적 시간과 상상,"마음을 새롭게 함으로 지금 이 순간, 있는 그대로"
사고방식,하나님으로부터 벗어나“내가”에 기초함,하나님 안에서 “그리스도가”에 기초함
사고방식,육의 생각,영의 생각
사고방식,죄의식에 기초한,하나님의 의 의식에 기초한
사고방식,두려움에 기초한,하나님의 사랑에 기초한
사고방식,자신의 행위에 기초함,하나님의 은혜에 기초함
사고방식,미움과 분노에 기초한,용서에 기초한
사고방식,분리에 기초한,연합에 기초한
에너지,자신의 혼과 몸의 에너지로,하나님의 생명 에너지로
