0,1
뿌리(전통)를 찾는 교회,비전(계시)을 추구하는 교회
공관복음적 성도의 양육 5),사도행전적 성도의 양육
삼위일체 하나님을 믿는 교회,삼위일체 하나님을 경험하는 교회
땅에서 하늘을 바라보는 교회,하늘에서 땅을 바라보는 교회
제사장적 교회,선지자적 교회
교세를 확장하는 교회,하나님나라를 확장하는 교회
세상의 문화를 배격하는 교회,세상의 문화를 이끌어가는 교회
교회의 임무,교회의 임무
교회에서의 양육과 세움양육된 성도를 세상 속으로양의 들판은 교회양의 들판은 세상그리스도인의 활동 영역은 교회(교회적 삶)그리스도인의 활동 영역은 세상(세상적 삶)세상을 떠나 교회로교회를 떠나 세상으로(세상은 피해야 할 장소)(세상은 정복해야 할 장소)제사장의 회복(성직자)왕 같은 제사장의 회복(평신도)성도가 죄로부터 벗어나기를 원함성도가 하나님의 의를 나타내기를 원함예수님의 능력과 권한을 교회영역에 제한예수님의 능력과 권한은 만물 안에 있음축복과 은혜,교회에서의 양육과 세움양육된 성도를 세상 속으로양의 들판은 교회양의 들판은 세상그리스도인의 활동 영역은 교회(교회적 삶)그리스도인의 활동 영역은 세상(세상적 삶)세상을 떠나 교회로교회를 떠나 세상으로(세상은 피해야 할 장소)(세상은 정복해야 할 장소)제사장의 회복(성직자)왕 같은 제사장의 회복(평신도)성도가 죄로부터 벗어나기를 원함성도가 하나님의 의를 나타내기를 원함예수님의 능력과 권한을 교회영역에 제한예수님의 능력과 권한은 만물 안에 있음축복과 은혜
언젠가 이루어질 것으로(미래)지금 여기에(현재)시간적 차원(물리적 세계에서)통치적 차원(영적세계에서 물리적 세계로)우리의 신분과 이름으로예수 그리스도의 이름으로우리의 믿음으로예수 그리스도안에 있는 믿음으로,언젠가 이루어질 것으로(미래)지금 여기에(현재)시간적 차원(물리적 세계에서)통치적 차원(영적세계에서 물리적 세계로)우리의 신분과 이름으로예수 그리스도의 이름으로우리의 믿음으로예수 그리스도안에 있는 믿음으로
